pm2_5,date_time,data_source,co,pm10,no_2,level,o3,date,city_name,so_2,AQI
33,,,1,55,23,良,69,2014-12-31,鹤壁,3,53
31,2019-01-20 10:08:28.584000,api,0.7,48,28,良,104,2016-08-01,辽源,9,54
36,2019-01-20 10:16:55.576000,api,0.8,61,39,良,92,2016-08-02,辽源,11,56
33,2019-01-20 10:16:55.580000,api,0.8,49,35,良,115,2016-07-01,辽源,7,63
45,2019-01-20 10:16:55.587000,api,0.9,68,48,良,130,2016-07-02,辽源,9,75
79,2019-01-20 10:16:55.590000,api,0.9,102,35,轻度污染,173,2016-06-01,辽源,8,112
39,2019-01-20 10:16:55.598000,api,0.8,48,30,良,103,2016-06-02,辽源,5,55
74,2019-01-20 10:16:55.602000,api,1,114,64,良,77,2016-05-01,辽源,14,99
77,2019-01-20 10:16:55.610000,api,1,111,52,轻度污染,138,2016-05-02,辽源,12,103
73,2019-01-20 10:16:55.613000,api,1.4,117,82,轻度污染,36,2016-04-01,辽源,19,101
57,2019-01-20 10:16:55.632000,api,0.9,77,38,良,15,2019-01-01,莆田,7,78
42,2019-01-20 10:17:24.415000,api,1,67,47,良,26,2018-12-01,莆田,8,59
72,2019-01-20 10:17:24.432000,api,1.2,108,59,良,74,2018-11-01,莆田,13,97
29,2019-01-20 10:17:24.447000,api,0.7,46,36,优,41,2018-10-01,莆田,6,43
17,2019-01-20 10:17:24.466000,api,0.5,30,24,良,120,2018-09-01,莆田,7,67
22,2019-01-20 10:17:24.481000,api,0.7,37,29,良,128,2018-08-01,莆田,6,74
18,2019-01-20 10:17:24.490000,api,0.6,30,24,良,104,2018-08-02,莆田,6,54
24,2019-01-20 10:17:24.493000,api,0.9,43,29,良,137,2018-07-01,莆田,7,81
17,2019-01-20 10:17:24.502000,api,0.7,36,26,优,88,2018-07-02,莆田,9,44
24,2019-01-20 10:17:24.505000,api,0.9,40,44,良,49,2018-06-01,莆田,9,53
47,2019-01-20 10:17:24.513000,api,0.9,71,43,良,89,2018-05-01,莆田,8,65
29,2019-01-20 10:17:24.525000,api,0.8,51,47,良,113,2018-05-02,莆田,6,61
30,2019-01-20 10:17:24.528000,api,0.9,55,38,良,93,2018-04-01,莆田,8,53
30,2019-01-20 10:17:24.537000,api,1,67,52,良,124,2018-04-02,莆田,10,70
48,2019-01-20 10:17:24.540000,api,1,74,48,良,121,2018-03-01,莆田,10,68
40,2019-01-20 10:17:24.548000,api,1,60,37,良,78,2018-03-02,莆田,11,57
66,2019-01-20 10:17:24.552000,api,1.1,107,66,良,24,2018-02-01,莆田,15,89
87,2019-01-20 10:17:24.560000,api,1.2,133,60,轻度污染,43,2018-02-02,莆田,16,115
66,2019-01-20 10:17:24.563000,api,1.2,104,58,良,15,2018-01-01,莆田,13,89
72,2019-01-20 10:17:24.572000,api,1.3,112,56,良,8,2018-01-02,莆田,16,97
31,2019-01-20 10:17:24.575000,api,0.9,45,42,优,0,2017-12-01,莆田,12,49
37,2019-01-20 10:17:24.583000,api,0.9,57,47,良,0,2017-12-02,莆田,15,57
74,2019-01-20 10:17:24.587000,api,1.2,113,54,良,38,2017-11-01,莆田,13,97
83,2019-01-20 10:17:24.595000,api,1.3,129,66,轻度污染,82,2017-11-02,莆田,14,109
23,2019-01-20 10:17:24.598000,api,0.9,43,40,优,28,2017-10-01,莆田,9,47
33,2019-01-20 10:17:24.607000,api,1.1,58,45,良,39,2017-10-02,莆田,10,55
11,2019-01-20 10:17:24.610000,api,0.9,20,25,优,33,2017-09-01,莆田,6,31
8,2019-01-20 10:17:24.618000,api,0.8,13,24,优,36,2017-09-02,莆田,6,28
